Student Name,ID Number,Final Grade
"Wolf, Courtney",4762255,92
"Johnson, Stacy Michael",8406082,91
"Flores, Brandon Chad",7831187,88
"Anderson, Lauren Billy",1067615,87
"Rodriguez, Alexander Katelyn",1791350,87
"Delgado, Desiree Jennifer",6611132,86
"Anderson, Daisy Michael",6426067,85
"Brown, Kelsey Steven",7521527,85
"Taylor, Michael Ashley",1348888,85
"Williams, Kimberly",4133244,84
"Gordon, Lori",1830837,84
"Garcia, Desiree Stephanie",9006764,83
"James, Margaret Juan",8902246,83
"Reyes, Bailey",6345758,83
"Odom, John",2575196,82
"Watson, Holly Samuel",5622557,80
"Douglas, Robert",2968584,80
"Good, Sherry Mark",5780203,80
"Scott, Michelle",8014272,80
"Lester, Aaron",7308367,80
"Graham, Benjamin James",8164846,79
"Daniel, William Austin",7474490,78
"Brock, Lauren Mark",9365638,78
"Dunlap, Angela",6253243,78
"Nguyen, Cindy",3949000,77
"Myers, Brian Gary",4167411,77
"Reilly, Brandy Kevin",2916149,76
"Cooper, Adam Melvin",9204701,75
"Smith, Andrea Erica",6847480,75
"Roberts, Steven Katherine",6984374,73
"Johnson, Jamie",7566895,73
"Curry, Alec",4570025,72
"Rush, Oscar",3137156,71
"Johnson, Tara",9756042,71
"Woodard, John",8605280,70
"Boyd, Victoria Kimberly",6035936,70
"Carter, Lorraine",2218112,69
"Miller, Stephen Elizabeth",8794639,69
"Daniels, Amber",3932938,69
"Edwards, Timothy Caroline",4325951,69
"Sparks, Leslie",3769525,69
"Campbell, Charles",9058767,69
"Watkins, Carol",5893837,68
"Holt, Crystal Heather",6637567,68
"Martin, Ashley Sara",7485180,67
"Smith, Samantha",4477527,67
"Stevens, Marcia",6936009,67
"Rogers, Sherry Benjamin",1454597,66
"Lambert, Malaika",2345678,65
"Glover, Heidi",1590887,65
"Flores, Russell Chad",9103057,65
