Student Name,ID Number,Final Grade
"Mann, Nicole",3795891,93
"Harris, John Lisa",8776566,92
"Jones, Michele",8373362,92
"King, Paige Mary",5400422,90
"Washington, Travis",2213589,90
"Patrick, Mark Jennifer",2003671,90
"Houston, Emily Donna",2886234,89
"Petersen, Kristin Sarah",2570154,88
"Dudley, Emily Emily",5824785,88
"Dennis, Cameron",3454432,87
"Beck, David John",7482388,87
"Lopez, Mark Steven",9650939,86
"Lee, Michelle",7761687,86
"Thomas, Sandra",8190682,85
"Hunt, Brett Caroline",7014488,85
"Hernandez, Taylor Harold",1735079,84
"Terry, Thomas",5665427,83
"Schwartz, Billy",7046482,83
"Garza, Jessica Allison",8065342,83
"Baldwin, Lucas",3792268,83
"Duffy, Erin",5461012,83
"Weber, Samuel",9107140,82
"Powers, Brooke David",4412160,81
"Gonzalez, Matthew Justin",1289689,81
"Barrera Jr., Woody",1234567,80
"Warren, Tamara Shawn",5505240,80
"Adams, Amy Robert",6600559,79
"Underwood, James",4463768,79
"Joyce, Traci",3456789,77
"Miller, Jorge",6278235,76
"Jones, Daniel Carolyn",4288557,76
"Bennett, Richard Jamie",5704583,75
"Marshall, Shawn Grace",9707878,75
"Sanders, Beth Melissa",7369942,74
"Pena, Jonathan Michael",1994210,74
"Parker, Timothy",3091027,74
"Foster, Tommy",3419285,74
"Walsh, Jill",7187270,73
"Young, Joseph Teresa",9248728,72
"Faulkner, Katelyn",1866225,72
"Moore, Kimberly Andrea",1983467,72
"Smith, Matthew",7782005,72
"Nguyen, Donna",8786799,72
"Walls, Joyce",5566719,72
"Ortega, Tiffany Maria",4682582,71
"Warren, Angela",8966419,71
"Guzman, Cynthia",2332731,70
"Payne, Douglas",7256989,70
"Allen, Christina",2685279,69
"Vasquez, Sara",4912187,68
"Rice, Rhonda Kyle",1283046,68
"Elliott, Richard Gwendolyn",6409860,67
"Bauer, John",1837857,67
"Hart, Colleen",6427493,67
"Saunders, Richard",2546149,66
"Smith, Kerry",9227999,66
